Company Name,Industry,Sector,Country,Report Type,Report Year,Report Link,Source,Download Result
104 Corp,Internet Media & Services,Technology & Communications,Taiwan,ESG Report,2021,http://corp.104.com.tw/assets/files/CSR/2021_104_ESG_report.pdf,SASB,"⚠️ HTTPConnectionPool(host='corp.104.com.tw', port=80): Max retries exceeded with url: /assets/files/CSR/2021_104_ESG_report.pdf (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000243E3D90A50>, 'Connection to corp.104.com.tw timed out. (connect timeout=15)'))"
2W Ecobank SA,Wind Technology & Project Developers,Renewable Resources & Alternative Energy,Brazil,Sustainability Report,2022,https://api.mziq.com/mzfilemanager/v2/d/4f5cf082-7b8a-47ad-9013-5de0ecda0d59/89b2dece-cf43-cb3c-6014-3f53e954e352?origin=1,SASB,🟡 Déjà téléchargé
2W Energia SA,Wind Technology & Project Developers,Renewable Resources & Alternative Energy,Brazil,Relatório de Sustentabilidade,2021,https://2wenergia.com.br/wp-content/uploads/2022/06/2WENERGIA_Relatorio2021_v07-1.pdf,SASB,"⚠️ HTTPSConnectionPool(host='2wenergia.com.br', port=443): Max retries exceeded with url: /wp-content/uploads/2022/06/2WENERGIA_Relatorio2021_v07-1.pdf (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000243E3D88990>, 'Connection to 2wenergia.com.br timed out. (connect timeout=15)'))"
3i Group PLC,Asset Management & Custody Activities,Financials,Britain,Sustainability Report,2024,https://www.3i.com/media/ji4blavo/sasb-disclosures-for-the-year-ended-31-march-2024.pdf,SASB,🟡 Déjà téléchargé
3M India Ltd,Containers & Packaging,Resource Transformation,India,Impact Report,2024,https://multimedia.3m.com/mws/media/2395043O/3m-2024-global-impact-report.pdf,SASB,🟡 Déjà téléchargé
407 ETR,Engineering & Construction Services,Infrastructure,Canada,ESG,2022,https://407etr.com/documents/investors/2022ESGReport.pdf,SASB,🟡 Déjà téléchargé
407 International Inc,Professional & Commercial Services,Services,Canada,ESG Report,2022,https://407etr.com/documents/investors/2022ESGReport.pdf,SASB,🟡 Déjà téléchargé
A&T Europe - Spa,Engineering & Construction Services,Infrastructure,Italy,ESG Report,2023,https://www.myrthapools.com/app/uploads/2023/10/ESG-Myrtha-Pools-EN.pdf,SASB,🟡 Déjà téléchargé
a2 Milk Co Ltd/The,"Meat, Poultry & Dairy",Food & Beverage,New Zealand,SASB Index,2024,https://assets-au-01.kc-usercontent.com/bca3e5d5-83bd-02bf-1c27-acb036630e5b/cf7e16e6-176d-4b9f-8d2a-e34a446ec23a/79207_a2_SASB%20Standards_V01.pdf,SASB,🟡 Déjà téléchargé
AAON Inc,Electrical & Electronic Equipment,Resource Transformation,United States,Sustainability Report,2023,https://www.aaon.com/hubfs/Documents/IR%20Documents/ESG%20and%20Sustainability%20Reports/2023%20AAON%20Sustainability%20Report.pdf,SASB,🟡 Déjà téléchargé
AAR Corp,Aerospace & Defence,Resource Transformation,United States,SASB Index,2024,https://www.aarcorp.com/globalassets/5.-about/sustainability/aar-2024-gri-sasb-index_final-pdf.pdf,SASB,🟡 Déjà téléchargé
Aarti Industries Ltd,Chemicals,Resource Transformation,India,Sustainability Report,2023-2024,https://www.aarti-industries.com/Upload/PDF/sustainability-report-2023-2024.pdf,SASB,🟡 Déjà téléchargé
AB - AllianceBernstein Holding LP,Asset Management & Custody Activities,Financials,United States,SASB Index,2024,https://www.alliancebernstein.com/content/dam/corporate/corporate-pdfs/sasb-disclosures.pdf,SASB,🟡 Déjà téléchargé
ABB Ltd.,Electrical & Electronic Equipment,Resource Transformation,Switzerland,Sustainability Report,2024,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108470A7211&LanguageCode=en&DocumentPartId=&Action=Launch,SASB,🟡 Déjà téléchargé
Abbott Laboratories,Medical Equipment & Supplies,Health Care,United States,Sustainability Report,2023,https://www.abbott.com/content/dam/corp/abbott/en-us/hub-new/Abbott-2023-Global-Sustainability-Report-June-2024.pdf,SASB,🟡 Déjà téléchargé
AbbVie Inc,Biotechnology & Pharmaceuticals,Health Care,United States,ESG Report,2023,https://www.abbvie.com/content/dam/abbvie-com2/pdfs/esg-disclosure-supplement.pdf,SASB,❌ 403
Abengoa Yield plc,Electric Utilities & Power Generators,Infrastructure,Britain,Integrated Report,2023,https://www.atlantica.com/wp-content/uploads/documents/2023-Integrated-Annual-Report-Web.pdf,SASB,🟡 Déjà téléchargé
ABM Industries Inc,Professional & Commercial Services,Services,United States,ESG Report,2022,https://www.abm.com/wp-content/uploads/2023/10/ABM%202022%20ESG%20Report.pdf,SASB,❌ 404
ABN AMRO Bank NV,Commercial Banks,Financials,Netherlands,SASB Index,2021,https://assets.ctfassets.net/1u811bvgvthc/2DU5m0OQxDDBARkw7ukegy/ac50c088f2b2dd351fdd3d0a8d31e91d/ABN_AMRO_SASB_Content_Index_2021.pdf,SASB,🟡 Déjà téléchargé
Abrdn plc,Asset Management & Custody Activities,Financials,Britain,Sustainability Report,2024,https://www.aberdeenplc.com/docs?editionId=afb53552-b713-47a1-888b-ef5edb35b776,SASB,🟡 Déjà téléchargé
Abu Dhabi Commercial Bank PJSC ADCB,Commercial Banks,Financials,Uae,ESG Report,2023,https://www.adcb.com/en/multimedia/pdfs/2024/april/2023-esg-report-english.pdf,SASB,🟡 Déjà téléchargé
Abu Dhabi National Energy Co PJSC TAQA,Electric Utilities & Power Generators,Infrastructure,Uae,Sustainability Report,2023,https://www.taqa.com/wp-content/uploads/2024/05/TAQA-Sustainability-Report-2023-1.pdf,SASB,🟡 Déjà téléchargé
AC Energy Inc.,Electric Utilities & Power Generators,Infrastructure,Philippines,Integrated Report,2023,https://www.acenrenewables.com/wp-content/uploads/2024/04/2023-ACEN-Integrated-Report_final.pdf,SASB,🟡 Déjà téléchargé
Academy Sports & Outdoors Inc,Multiline and Specialty Retailers & Distributors,Consumer Goods,United States,CSR Report,2023,https://corporate.academy.com/wp-content/uploads/corpresponsibility/2023_Academy_Corporate_Responsibility_Report.pdf,SASB,🟡 Déjà téléchargé
Acadia Healthcare Co Inc,Health Care Delivery,Health Care,United States,Sustainability Report,2023,https://www.acadiahealthcare.com/wp-content/uploads/sites/173/2024/08/Final-ACHC-Sustainability-Report-July-2024.pdf,SASB,🟡 Déjà téléchargé
Acadia Realty Trust,Real Estate,Infrastructure,United States,CSR Report,2023,https://www.acadiarealty.com/images/Sustainability/AKR_CorporateResponsibilityReport_Published-2024.pdf,SASB,❌ 404
ACC Ltd,Construction Materials,Extractives & Minerals Processing,India,Sustainability Report,2023-2024,https://www.acclimited.com/assets/new/pdf/ACC-Main-V2-17-08-2024-2-page-view.pdf,SASB,❌ 404
Accenture Development Partnerships,Software & IT Services,Technology & Communications,Ireland,SASB Index,2024,https://www.accenture.com/content/dam/accenture/final/corporate/company-information/document/Accenture-Sustainability-Accounting-Standards-Board-Index-2024.pdf,SASB,🟡 Déjà téléchargé
ACCO Brands Corp,Multiline and Specialty Retailers & Distributors,Consumer Goods,United States,ESG Report,2023,https://s27.q4cdn.com/496738823/files/doc_downloads/2024/09/esg_final.pdf,SASB,🟡 Déjà téléchargé
Accor SA,Hotels & Lodging,Services,France,Universal Registration Document,2021,https://group.accor.com/-/media/Corporate/Investors/Documents-de-reference/OPT_ACCOR_DEU_2021_MEL_US_300322.pdf,SASB,🟡 Déjà téléchargé
Accsys Technologies PLC,Building Products & Furnishings,Consumer Goods,Britain,SASB Report,2023,https://www.accsysplc.com/app/uploads/2023/07/Accsys-SASB-Report-2023.pdf,SASB,🟡 Déjà téléchargé
Accton Technology Corp,Hardware,Technology & Communications,Taiwan,ESG Report,2023,https://www.accton.com/wp-content/uploads/2024/07/Accton-2023ESG-EN_resize.pdf,SASB,🟡 Déjà téléchargé
ACE Enexor Inc,Oil & Gas – Exploration & Production,Extractives & Minerals Processing,Philippines,Integrated Report,2021,https://www.acenrenewables.com/ir2021/pdf/ACEN-Integrated-Report-2021.pdf,SASB,🟡 Déjà téléchargé
Ace Hardware Indonesia Tbk PT,Multiline and Specialty Retailers & Distributors,Consumer Goods,Indonesia,Sustainability Report,2022,https://corporate.acehardware.co.id/files/uploads/sustainabilityreport/file/2023/May/02/6450f9d6f2bd0/aces-sustainability-report-2022-pdf.pdf,SASB,"⚠️ HTTPSConnectionPool(host='corporate.acehardware.co.id', port=443): Max retries exceeded with url: /files/uploads/sustainabilityreport/file/2023/May/02/6450f9d6f2bd0/aces-sustainability-report-2022-pdf.pdf (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000243E3D92810>, 'Connection to corporate.acehardware.co.id timed out. (connect timeout=15)'))"
Acer E-Enabling Service Business Inc,Software & IT Services,Technology & Communications,Taiwan,Sustainability Report,2023,https://images.aceraeb.com/acer/MsgInfo/241218-sk001.pdf,SASB,🟡 Déjà téléchargé
Acer Inc,Hardware,Technology & Communications,Taiwan,Sustainability Report,2023,https://www.acer.com/sustainability/uploads/files/shares/sustainability-report/2023_Acer_Sustainability_Report.pdf,SASB,"⚠️ HTTPSConnectionPool(host='www.acer.com', port=443): Read timed out. (read timeout=15)"
Acerinox SA,Iron & Steel Producers,Extractives & Minerals Processing,Spain,Annual Report,2023,https://www.acerinox.com/export/sites/acerinox/es/accionistas-e-inversores/informacion-economica-financiera/informe-anual-integrado/.galleries/Informacion-Anual/2023-Integrated-Annual-Report.pdf,SASB,🟡 Déjà téléchargé
"ACI Worldwide, Inc",Software & IT Services,Technology & Communications,United States,Sustainability Report,2023,https://www.aciworldwide.com/wp-content/uploads/2023/01/ACI-SustainabilityReport.pdf,SASB,🟡 Déjà téléchargé
Acindar Industria Argentina de Aceros SA,Iron & Steel Producers,Extractives & Minerals Processing,Argentina,Integrated Report,2020,https://www.acindar.com.ar/wp-content/uploads/2021/08/Reporte_Integrado_Acindar_2020_Ingles.pdf,SASB,🟡 Déjà téléchargé
Acme Electronics Corp,Electrical & Electronic Equipment,Resource Transformation,Taiwan,ESG Report,2023,https://www.usig.com/ACMECSR/CSRReport/acme2023_en.pdf,SASB,🟡 Déjà téléchargé
Acter Group Corp Ltd,Engineering & Construction Services,Infrastructure,Taiwan,Sustainability Report,2023,https://www.acter.com.tw/en/csr,SASB,🟡 Déjà téléchargé
Activants Pte Ltd,Software & IT Services,Technology & Communications,Singapore,Sustainability Report,2024,https://activants123-my.sharepoint.com/:b:/g/personal/jeremie_activants_com/ERWZxDwnlEBJolmwwyIMo38BRT3S6xPYJxULZzGZIFZZVQ,SASB,🟡 Déjà téléchargé
Activision Blizzard Inc,Software & IT Services,Technology & Communications,United States,ESG Report,2022,https://ourcommitments.activisionblizzard.com/content/dam/atvi/activisionblizzard/ab-touchui/our-commitments/docs/2022_ESG_Report.pdf,SASB,🟡 Déjà téléchargé
Acuity Brands Inc,Electrical & Electronic Equipment,Resource Transformation,United States,CSR Report,2024,https://img.acuitybrands.com/general-site-storage/EarthLIGHT/earthlight-report-2024-english.pdf?_gl=1*eld2kj*_gcl_au*Mzk4OTcxNzEuMTc0MTEwNDE4NA..*_ga*MTY0NzAwNzc0LjE3NDExMDQxODQ.*_ga_ZGFQSN9WXQ*MTc0MTEwNDE4My4xLjAuMTc0MTEwNDE4My42MC4wLjA.*_ga_LZD7MDDNQZ*MTc0MTEwNDE4My4xLjAuMTc0MTEwNDE4My4wLjAuMA..,SASB,🟡 Déjà téléchargé
ACWA Power Co,Electric Utilities & Power Generators,Infrastructure,Saudi Arabia,Annual Report,2023,https://www.acwapower.com/en/,SASB,"⚠️ HTTPSConnectionPool(host='www.acwapower.com', port=443): Max retries exceeded with url: /en/ (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1006)')))"
ADAMA Ltd,Chemicals,Resource Transformation,China,ESG Report,2023,https://www.adama.com/sites/adama_global/files/documents/2024-05/ADAMA%20ESG%20report%202023.pdf,SASB,❌ 403
Adani Green Energy Ltd,Solar Technology & Project Developers,Renewable Resources & Alternative Energy,India,ESG Report,2021-2022,https://www.adanigreenenergy.com/-/media/Project/GreenEnergy/Corporate-Governance/Others/ESG-Report-FY-2021-22.pdf,SASB,❌ 403
Adecco,Professional & Commercial Services,Services,Switzerland,Annual Report,2022,https://www.adeccogroup.com/-/media/project/adeccogroup/pdf-files/Annual-Report-2022/Adecco-Group-Annual-Report-2022.pdf/,SASB,🟡 Déjà téléchargé
Adecoagro SA,Agricultural Products,Food & Beverage,Argentina,Integrated Report,2023,https://sustainability.adecoagro.com/wp-content/uploads/2024/05/Adecoagro-2023-Integrated-Report.pdf,SASB,🟡 Déjà téléchargé
Adeia Inc,Software & IT Services,Technology & Communications,United States,ESG Report,2024,https://investors.adeia.com/static-files/b6a8906d-73fa-48bd-9b51-5107c0e90294,SASB,"⚠️ HTTPSConnectionPool(host='investors.adeia.com', port=443): Read timed out. (read timeout=15)"
adidas AG,"Apparel, Accessories & Footwear",Consumer Goods,Germany,SASB Index,2022,https://www.adidas-group.com/media/filer_public/7d/f0/7df07b9c-8c97-4461-bb79-82bc2cfa9555/sasb_summary_table_for_publication_2022_1803_clean.pdf,SASB,❌ 404
Adient PLC,Auto Parts,Transportation,United States,Sustainability Report,2024,https://investors.adient.com/~/media/Files/A/Adient-IR/goverance-docs/adient-2024-sustainability-report.pdf,SASB,🟡 Déjà téléchargé
Aditya Birla Fashion and Retail Ltd,"Apparel, Accessories & Footwear",Consumer Goods,India,Integrated Annual Report,2023,https://www.abfrl.com/wp-content/uploads/2024/08/ABFRL-AR-2023-24-Final.pdf,SASB,🟡 Déjà téléchargé
Administradora de Fondos de Pensiones y Cesantias PROTECCION SA/Colombia,Asset Management & Custody Activities,Financials,Colombia,Informe Anual,2022,https://downloads.ctfassets.net/y3qdch79qxiw/5LVHmNys1mzGz66S72l2ar/7f9c2b68c53dc37abd5a11e7c3975bcc/PROTECCION_INFORME_ANUAL_2022.pdf,SASB,🟡 Déjà téléchargé
Admiral,Insurance,Financials,Britain,Sustainability Report,2024,https://admiralgroup.co.uk/static-files/1da50df5-538f-4ec3-9fd9-87d1a4051ca5,SASB,"⚠️ HTTPSConnectionPool(host='admiralgroup.co.uk', port=443): Read timed out. (read timeout=15)"
Adobe Inc,Software & IT Services,Technology & Communications,United States,CSR Report,2023,https://www.adobe.com/content/dam/cc/en/corporate-responsibility/pdfs/Adobe-CSR-Report-2023.pdf,SASB,"⚠️ HTTPSConnectionPool(host='www.adobe.com', port=443): Read timed out. (read timeout=15)"
ADP - Automatic Data Processing Inc,Software & IT Services,Technology & Communications,United States,CSR Report,2024,https://s23.q4cdn.com/483669984/files/doc_downloads/2024/05/23/adp-2023-corporate-responsibility-report.pdf,SASB,❌ 403
ADT Inc,Professional & Commercial Services,Services,United States,ESG Report,2023,https://s201.q4cdn.com/833622905/files/doc_downloads/esg_docs/2024/ADT_2023_ESG_Report.pdf,SASB,🟡 Déjà téléchargé
"Advance Auto Parts, Inc.",Multiline and Specialty Retailers & Distributors,Consumer Goods,United States,CSR,2022,https://online.flippingbook.com/view/1065082966/,SASB,🟡 Déjà téléchargé
Advanced Ceramic X Corp,Hardware,Technology & Communications,Taiwan,ESG Report,2021,https://www.acxc.com.tw/_upload/files/2021_CSR.pdf,SASB,❌ 404
"Advanced Drainage Systems, Inc",Industrial Machinery & Goods,Resource Transformation,United States,Sustainability Report,2023,https://sasb.ifrs.org/company-use/sasb-reporters/Sustainability-Report-2023.pdf%20(adspipe.com),SASB,❌ 404
Advanced Info Service PCL,Telecommunication Services,Technology & Communications,Thailand,Sustainability Report,2024,https://investor.ais.co.th/misc/sustainability/20250127-advanc-srd-2024-en.pdf,SASB,🟡 Déjà téléchargé
Advanced Micro Devices Inc AMD,Semiconductors,Technology & Communications,United States,CSR Report,2023-2024,https://www.amd.com/content/dam/amd/en/documents/corporate/cr/corporate-responsibility-report.pdf,SASB,🟡 Déjà téléchargé
AdvanSix Inc,Chemicals,Resource Transformation,United States,Sustainability Report,2023,https://www.advansix.com/wp-content/uploads/2024/07/AdvanSix-2023-Sustainability-Report.pdf,SASB,🟡 Déjà téléchargé
Advantage Energy Ltd,Oil & Gas – Exploration & Production,Extractives & Minerals Processing,Canada,Sustainability Report,2022,https://sasb.ifrs.org/company-use/sasb-reporters/Advantage-Energy-2022-Sustainability-Report-WEB.pdf%20(advantageog.com),SASB,❌ 404
Advantech Co Ltd,Hardware,Technology & Communications,Taiwan,Sustainability Report,2023,https://advcloudfiles.advantech.com/csr/Report/2023ESG_EN.pdf,SASB,🟡 Déjà téléchargé
Advantest Corp,Semiconductors,Technology & Communications,Japan,Integrated Report,2023,https://sasb.ifrs.org/company-use/sasb-reporters/E_all_IAR2023.pdf%20(advantest.com),SASB,❌ 404
AECOM,Engineering & Construction Services,Infrastructure,United States,Sustainability Report,2024,https://investors.aecom.com/static-files/89f703db-e5f8-4a16-a3a1-9e8f06620542,SASB,"⚠️ HTTPSConnectionPool(host='investors.aecom.com', port=443): Read timed out. (read timeout=15)"
Aecon Group Inc.,Engineering & Construction Services,Infrastructure,Canada,Sustainability Report,2023,https://www.aecon.com/docs/default-source/sustainability-report/2023-sustainability-report.pdf?sfvrsn=55808078_5,SASB,🟡 Déjà téléchargé
Aekyung Industrial Co Ltd,Household & Personal Products,Consumer Goods,South Korea,Sustainability Report,2023,https://kind.krx.co.kr/external/2024/07/03/000124/20240703000123/2023%20%EC%95%A0%EA%B2%BD%EC%82%B0%EC%97%85%28%EC%A3%BC%29%20%EC%A7%80%EC%86%8D%EA%B0%80%EB%8A%A5%EA%B2%BD%EC%98%81%EB%B3%B4%EA%B3%A0%EC%84%9C.pdf,SASB,🟡 Déjà téléchargé
Aena SME SA,Professional & Commercial Services,Services,Spain,Annual Report,2023,https://www.aena.es/sites/Satellite?blobcol=urldata&blobkey=id&blobtable=MungoBlobs&blobwhere=1576866564251&ssbinary=true,SASB,❌ 404
Aer Lingus Group DAC,Airlines,Transportation,Ireland,Annual Report,2023,https://www.iairgroup.com/media/kfenna5k/iag-cnmv-annual-financial-report-2023-english.pdf,SASB,🟡 Déjà téléchargé
Aeroflot PJSC,Airlines,Transportation,Russia,ESG Report,2023,https://ir.aeroflot.com/fileadmin/user_upload/files/rus/common_info/gosa_doc_2024/Aeroflot_CSR2023_ENG_Book.pdf,SASB,🟡 Déjà téléchargé
Aeroports de Paris,Professional & Commercial Services,Services,France,CSR Report,2023,https://s23.q4cdn.com/483669984/files/doc_downloads/2024/05/23/adp-2023-corporate-responsibility-report.pdf,SASB,❌ 403
Aerospace Industrial Development Corp,Aerospace & Defence,Resource Transformation,Taiwan,Sustainability Report,2023,https://www.aidc.com.tw/Content/File/sr202300en.pdf,SASB,🟡 Déjà téléchargé
AeroVironment Inc,Aerospace & Defence,Resource Transformation,United States,CSR Report,2024,https://investor.avinc.com/static-files/c37fb7ac-6917-4258-9fc9-c9dec8d93e29,SASB,"⚠️ HTTPSConnectionPool(host='investor.avinc.com', port=443): Read timed out. (read timeout=15)"
AES,Electric Utilities & Power Generators,Infrastructure,United States,Sustainability Report,2023,https://www.aes.com/sites/aes.com/files/2024-07/2023-AES-Improving-Lives-Report.pdf,SASB,🟡 Déjà téléchargé
AES Andes SA,Electric Utilities & Power Generators,Infrastructure,Chile,Memoria Anual Integrada,2023,https://s27.q4cdn.com/957035463/files/doc_financials/2023/ar/AES-ANDES-MEMORIA-ANUAL-INTEGRADA-2023-12-abril.pdf,SASB,🟡 Déjà téléchargé
AES Brasil,Wind Technology & Project Developers,Renewable Resources & Alternative Energy,Brazil,Sustainability Report,2023,https://api.mziq.com/mzfilemanager/v2/d/e498993c-3cba-4d72-b30c-36dab672b462/16cbc9ca-948d-47a2-8aec-4facb90a5d21?origin=2,SASB,🟡 Déjà téléchargé
AES Tiete Energia SA,Electric Utilities & Power Generators,Infrastructure,Brazil,Integrated Report,2023,https://www.aesbrasil.com.br/sites/aesbrasil/files/2024-03/Integrated%20Sustainability%20Report%202023-2%20(AES%20Brasil).pdf,SASB,"⚠️ HTTPSConnectionPool(host='www.aesbrasil.com.br', port=443): Max retries exceeded with url: /sites/aesbrasil/files/2024-03/Integrated%20Sustainability%20Report%202023-2%20(AES%20Brasil).pdf (Caused by NameResolutionError(""<urllib3.connection.HTTPSConnection object at 0x00000243E3D9D150>: Failed to resolve 'www.aesbrasil.com.br' ([Errno 11001] getaddrinfo failed)""))"
Aferian PLC,Hardware,Technology & Communications,Britain,ESG Report,2024,https://aferian.com/wp-content/uploads/2024/12/Aferian-ESG-report-2024-01c.pdf,SASB,🟡 Déjà téléchargé
Aflac Inc,Insurance,Financials,United States,Sustainability Report,2023,https://s24.q4cdn.com/367535798/files/doc_financials/2023/ar/2023-aflac-incorporated-business-and-sustainability-report-3-21.pdf,SASB,🟡 Déjà téléchargé
Africa Oil Corp,Oil & Gas – Exploration & Production,Extractives & Minerals Processing,Canada,Sustainability Report,2023,https://africaoilcorp.com/wp-content/uploads/2024/06/AFRICA-OIL-CORP-Sustainability-Report-2023.pdf,SASB,🟡 Déjà téléchargé
Afya,Education,Services,Brazil,Sustainability Report,2022,https://api.mziq.com/mzfilemanager/v2/d/d9de61ef-dfe7-4141-bf30-ad612d6eeca2/26fd1f01-3cbc-62a3-b386-60f71ec7bfea?origin=1,SASB,🟡 Déjà téléchargé
Ag Growth International Inc,Industrial Machinery & Goods,Resource Transformation,United States,Sustainability Report,2023,https://www.aggrowth.com/,SASB,🟡 Déjà téléchargé
AGCO Corporation,Industrial Machinery & Goods,Resource Transformation,United States,Sustainability Report,2024,https://www.agcocorp.com/content/dam/public/agco-corp-v2/en/sustainability/sustainability-report-2024.pdf,SASB,🟡 Déjà téléchargé
Agilent Technologies Inc,Medical Equipment & Supplies,Health Care,United States,ESG Report,2023,https://www.agilent.com/about/esg/en/2023-agilent-esg-report.pdf,SASB,❌ 403
Agiliti Health Inc,Health Care Distributors,Health Care,United States,Corporate Citizenship Report,2023,https://s27.q4cdn.com/288281216/files/doc_downloads/esg/2024/agiliti-2023-corporate-citizenship-report.pdf,SASB,❌ 404
Agios Pharmaceuticals Inc,Biotechnology & Pharmaceuticals,Health Care,United States,ESG Report,2021,https://investor.agios.com/static-files/4442acee-a7c6-4a9f-af01-51d4dc114224,SASB,"⚠️ HTTPSConnectionPool(host='investor.agios.com', port=443): Read timed out. (read timeout=15)"
AGL Energy Ltd,Electric Utilities & Power Generators,Infrastructure,Australia,SASB Index,2024,https://www.2024datacentre.agl.com.au/xmlpages/tan/ods-export?type=AGL_JTC_DC_01&document_version_id=129743&node_table_list=130324-all_in_tree&filename=Sustainability%20Accounting%20Standards%20Board%20(SASB)%20Index,SASB,🟡 Déjà téléchargé
AGNC Investment Corp,Mortgage Finance,Financials,United States,ESG Report,2023,https://investors.agnc.com/2023-esg-report,SASB,"⚠️ HTTPSConnectionPool(host='investors.agnc.com', port=443): Read timed out. (read timeout=15)"
Agnico Eagle Mines Ltd.,Metals & Mining,Extractives & Minerals Processing,Canada,ESG Report,2023,https://s21.q4cdn.com/374334112/files/doc_downloads/gri_table/Agnico-Eagle-2023-Sustainability-Performance-Data_25042024.xlsx,SASB,❌ 403
Agree Realty Corp,Real Estate,Infrastructure,United States,Sustainability Report,2023,https://agreerealty.com/wp-content/uploads/2024/06/Agree-2023-Sustainability-Report.pdf,SASB,🟡 Déjà téléchargé
Agrosuper SA,"Meat, Poultry & Dairy",Food & Beverage,Chile,Reporte Integrado,2020,https://www.agrosuper.cl/wp-content/uploads/2021/04/Reporte-Integrado-Matriz-Agrosuper-2020-web.pdf,SASB,❌ 404
Agrovision US HoldCo LLC,Agricultural Products,Food & Beverage,United States,Sustainability Report,2023,https://cdn.prod.website-files.com/6765b10ac796865a3e6280a2/677d5c768e8ea05c1635426a_Sustainability%20Report_Agrovision_2023_EN%20(1)%20(1)-compressed.pdf,SASB,🟡 Déjà téléchargé
Aguas Andinas SA,Water Utilities & Services,Infrastructure,Chile,Integrated Report,2024,https://www.aguasandinasinversionistas.cl/~/media/Files/A/Aguas-IR-v2/annual-reports/es/reporte-integrado-2024-aguas-andinas-baja-2-compressed-1.pdf,SASB,🟡 Déjà téléchargé
AIG - American International Group Inc,Insurance,Financials,United States,Sustainability Report,2023,https://www.aig.com/content/dam/aig/america-canada/us/documents/about-us/report/aig-sustainability-report-2023.pdf,SASB,🟡 Déjà téléchargé
Air Liquide SA,Chemicals,Resource Transformation,France,Document d'Enregistrement Universel,2022,https://www.airliquide.com/sites/airliquide.com/files/2023-03/air-liquide-document-enregistrement-universel-2022.pdf,SASB,🟡 Déjà téléchargé
Air New Zealand Ltd,Airlines,Transportation,New Zealand,Sustainability Report,2023,https://p-airnz.com/cms/assets/PDFs/2023-air-new-zealand-sustainability-report.pdf,SASB,❌ 404
Air Products,Chemicals,Resource Transformation,United States,Sustainability Report,2024,https://www.airproducts.com/-/media/files/en/900/900-24-001-us-sustainability-report-2024.pdf,SASB,❌ 403
Airbus SE,Aerospace & Defense,Resource Transformation,France,Annual Report,2023,https://www.airbus.com/en,SASB,🟡 Déjà téléchargé
Airtac International Group,Industrial Machinery & Goods,Resource Transformation,Taiwan,Sustainability Report,2022,https://us-en.airtac.com/upload/2024011104380127410.PDF,SASB,🟡 Déjà téléchargé
Aitken Spence Hotel Holdings PLC,Hotels & Lodging,Services,Sri Lanka,Annual Report,2023-2024,https://d3a2q5al71qg9.cloudfront.net/2024/07/Aitken-Spence-Hotel-Holdings-PLC-Annual-Report-for-the-year-ended-31st-March-2024.pdf,SASB,🟡 Déjà téléchargé
Aitken Spence PLC,Hotels & Lodging,Services,Sri Lanka,Annual Report,2023-2024,https://aitkenspence.com/images/ar/2023-2024/aitken-spence-annual-report-2023-2024-high.pdf,SASB,🟡 Déjà téléchargé
"Ajinomoto Co., Inc.",Processed Foods,Food & Beverage,Japan,SASB Index,2022,https://www.ajinomoto.com/sustainability/sasb.php,SASB,🟡 Déjà téléchargé
AJJ Medtech Holdings Ltd,Industrial Machinery & Goods,Resource Transformation,Singapore,Sustainability Report,2023,https://links.sgx.com/FileOpen/AJJ%20Medtech%20-%20Sustainability%20Report%20FY2023.ashx?App=Announcement&FileID=804718,SASB,🟡 Déjà téléchargé
Akamai Technologies Inc,Software & IT Services,Technology & Communications,United States,SASB Index,2022,https://app.one-report.com/report/SASB-index-xo.html?companyid=1371;year=2023;rid=NjIyNTIyMDI0,SASB,🟡 Déjà téléchargé
akbank ta?,Commercial Banks,Financials,Turkey,Integrated Report,2020,https://www.akbankinvestorrelations.com/en/images/pdf/akbank_integrated_report_2020.pdf,SASB,🟡 Déjà téléchargé
Aker BP ASA,Oil & Gas – Exploration & Production,Extractives & Minerals Processing,Norway,Annual Report,2023,https://mb.cision.com/Main/1629/3943191/2679085.pdf,SASB,🟡 Déjà téléchargé
Akzo Nobel NV,Chemicals,Resource Transformation,Netherlands,Corporate Report,2021,https://www.akzonobel.com/content/dam/akzonobel-corporate/global/en/our-approach-to-sustainability/sustainability-reporting/2021-sustainability-accounting-standards-board-akzonobel.pdf,SASB,🟡 Déjà téléchargé
AL Yah Satellite Communications Co-Pjsc-Yah Sat,Telecommunication Services,Technology & Communications,Uae,Sustainability Report,2023,https://www.yahsat.com/-/media/yahsat/investor-relations/annual-report/2023/yahsat-sustainability-report_english.pdf?la=en&hash=764EED135BF63DBC8A4E8A3F13DD7C93C53D9F93,SASB,🟡 Déjà téléchargé
Alamos Gold Inc.,Metals & Mining,Extractives & Minerals Processing,Canada,SASB Index,2023,https://alamosesgrepo1.wpenginepowered.com/about/#SASB,SASB,🟡 Déjà téléchargé
