Company name,Sector,Industry,Country,Report type,Report year,Report link,Source
104 Corp,Technology & Communications,Internet Media & Services,Taiwan,ESG Report,2021,http://corp.104.com.tw/assets/files/CSR/2021_104_ESG_report.pdf,SASB
2W Ecobank SA,Renewable Resources & Alternative Energy,Wind Technology & Project Developers,Brazil,Sustainability Report,2022,https://docs.publicnow.com/viewDoc.aspx?filename=104816%5CEXT%5CA3029ACD7E4503B38F2F8019857B3B07B1A6DEA9_FEFEF6FECF9220D192E19B9088F69046C681AB77.PDF,Google search
2W Energia SA,Renewable Resources & Alternative Energy,Wind Technology & Project Developers,Brazil,Relatório de Sustentabilidade,2021,https://2wenergia.com.br/wp-content/uploads/2022/06/2WENERGIA_Relatorio2021_v07-1.pdf,SASB
3i Group PLC,Financials,Asset Management & Custody Activities,Britain,Sustainability Report,2024,https://www.3i.com/media/ji4blavo/sasb-disclosures-for-the-year-ended-31-march-2024.pdf,SASB
3M India Ltd,Resource Transformation,Containers & Packaging,India,Impact Report,2024,https://multimedia.3m.com/mws/media/2395043O/3m-2024-global-impact-report.pdf,SASB
407 ETR,Infrastructure,Engineering & Construction Services,Canada,ESG,2022,https://407etr.com/documents/investors/2022ESGReport.pdf,SASB
407 International Inc,Services,Professional & Commercial Services,Canada,ESG Report,2022,https://407etr.com/documents/investors/2022ESGReport.pdf,SASB
A&T Europe - Spa,Infrastructure,Engineering & Construction Services,Italy,ESG Report,2023,https://www.myrthapools.com/app/uploads/2023/10/ESG-Myrtha-Pools-EN.pdf,SASB
a2 Milk Co Ltd/The,Food & Beverage,"Meat, Poultry & Dairy",New Zealand,SASB Index,2024,https://assets-au-01.kc-usercontent.com/bca3e5d5-83bd-02bf-1c27-acb036630e5b/cf7e16e6-176d-4b9f-8d2a-e34a446ec23a/79207_a2_SASB%20Standards_V01.pdf,SASB
AAON Inc,Resource Transformation,Electrical & Electronic Equipment,United States,Sustainability Report,2023,https://www.aaon.com/hubfs/Documents/IR%20Documents/ESG%20and%20Sustainability%20Reports/2023%20AAON%20Sustainability%20Report.pdf,SASB
AAR Corp,Resource Transformation,Aerospace & Defence,United States,SASB Index,2024,https://www.aarcorp.com/globalassets/5.-about/sustainability/aar-2024-gri-sasb-index_final-pdf.pdf,SASB
Aarti Industries Ltd,Resource Transformation,Chemicals,India,Sustainability Report,2023-2024,https://www.aarti-industries.com/Upload/PDF/sustainability-report-2023-2024.pdf,SASB
AB - AllianceBernstein Holding LP,Financials,Asset Management & Custody Activities,United States,SASB Index,2024,https://www.alliancebernstein.com/content/dam/corporate/corporate-pdfs/sasb-disclosures.pdf,SASB
ABB Ltd.,Resource Transformation,Electrical & Electronic Equipment,Switzerland,Sustainability Report,2024,https://search.abb.com/library/Download.aspx?DocumentID=9AKK108470A7211&LanguageCode=en&DocumentPartId=&Action=Launch,SASB
Abbott Laboratories,Health Care,Medical Equipment & Supplies,United States,Sustainability Report,2023,https://www.abbott.com/content/dam/corp/abbott/en-us/hub-new/Abbott-2023-Global-Sustainability-Report-June-2024.pdf,SASB
AbbVie Inc,Health Care,Biotechnology & Pharmaceuticals,United States,ESG Report,2023,https://www.abbvie.com/content/dam/abbvie-com2/pdfs/esg-disclosure-supplement.pdf,SASB
Abengoa Yield plc,Infrastructure,Electric Utilities & Power Generators,Britain,Integrated Report,2023,https://www.atlantica.com/wp-content/uploads/documents/2023-Integrated-Annual-Report-Web.pdf,SASB
ABM Industries Inc,Services,Professional & Commercial Services,United States,ESG Report,2022,https://www.abm.com/wp-content/uploads/2023/10/ABM%202022%20ESG%20Report.pdf,SASB
ABN AMRO Bank NV,Financials,Commercial Banks,Netherlands,SASB Index,2021,https://assets.ctfassets.net/1u811bvgvthc/2DU5m0OQxDDBARkw7ukegy/ac50c088f2b2dd351fdd3d0a8d31e91d/ABN_AMRO_SASB_Content_Index_2021.pdf,SASB
Abrdn plc,Financials,Asset Management & Custody Activities,Britain,Sustainability Report,2024,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/LSE_ABDN_2023.pdf,Google search
Abu Dhabi Commercial Bank PJSC ADCB,Financials,Commercial Banks,Uae,ESG Report,2023,https://www.adcb.com/en/multimedia/pdfs/2024/april/2023-esg-report-english.pdf,SASB
Abu Dhabi National Energy Co PJSC TAQA,Infrastructure,Electric Utilities & Power Generators,Uae,Sustainability Report,2023,https://www.taqa.com/wp-content/uploads/2024/05/TAQA-Sustainability-Report-2023-1.pdf,SASB
AC Energy Inc.,Infrastructure,Electric Utilities & Power Generators,Philippines,Integrated Report,2023,https://www.acenrenewables.com/wp-content/uploads/2024/04/2023-ACEN-Integrated-Report_final.pdf,SASB
Academy Sports & Outdoors Inc,Consumer Goods,Multiline and Specialty Retailers & Distributors,United States,CSR Report,2023,https://corporate.academy.com/wp-content/uploads/corpresponsibility/2023_Academy_Corporate_Responsibility_Report.pdf,SASB
Acadia Healthcare Co Inc,Health Care,Health Care Delivery,United States,Sustainability Report,2023,https://www.acadiahealthcare.com/wp-content/uploads/sites/173/2024/08/Final-ACHC-Sustainability-Report-July-2024.pdf,SASB
Acadia Realty Trust,Infrastructure,Real Estate,United States,CSR Report,2023,https://www.acadiarealty.com/images/Sustainability/AKR_CorporateResponsibilityReport_Published-2024.pdf,SASB
ACC Ltd,Extractives & Minerals Processing,Construction Materials,India,Sustainability Report,2023-2024,https://www.acclimited.com/assets/new/pdf/ACC-Main-V2-17-08-2024-2-page-view.pdf,SASB
Accenture Development Partnerships,Technology & Communications,Software & IT Services,Ireland,SASB Index,2024,https://www.accenture.com/content/dam/accenture/final/corporate/company-information/document/Accenture-Sustainability-Accounting-Standards-Board-Index-2024.pdf,SASB
ACCO Brands Corp,Consumer Goods,Multiline and Specialty Retailers & Distributors,United States,ESG Report,2023,https://s27.q4cdn.com/496738823/files/doc_downloads/2024/09/esg_final.pdf,SASB
Accor SA,Services,Hotels & Lodging,France,Universal Registration Document,2021,https://group.accor.com/-/media/Corporate/Investors/Documents-de-reference/OPT_ACCOR_DEU_2021_MEL_US_300322.pdf,SASB
Accsys Technologies PLC,Consumer Goods,Building Products & Furnishings,Britain,SASB Report,2023,https://www.accsysplc.com/app/uploads/2023/07/Accsys-SASB-Report-2023.pdf,SASB
Accton Technology Corp,Technology & Communications,Hardware,Taiwan,ESG Report,2023,https://www.accton.com/wp-content/uploads/2024/07/Accton-2023ESG-EN_resize.pdf,SASB
ACE Enexor Inc,Extractives & Minerals Processing,Oil & Gas – Exploration & Production,Philippines,Integrated Report,2021,https://www.acenrenewables.com/ir2021/pdf/ACEN-Integrated-Report-2021.pdf,SASB
Ace Hardware Indonesia Tbk PT,Consumer Goods,Multiline and Specialty Retailers & Distributors,Indonesia,Sustainability Report,2022,https://corporate.acehardware.co.id/files/uploads/sustainabilityreport/file/2023/May/02/6450f9d6f2bd0/aces-sustainability-report-2022-pdf.pdf,SASB
Acer E-Enabling Service Business Inc,Technology & Communications,Software & IT Services,Taiwan,Sustainability Report,2023,https://images.aceraeb.com/acer/MsgInfo/241218-sk001.pdf,SASB
Acer Inc,Technology & Communications,Hardware,Taiwan,Sustainability Report,2023,https://www.acer.com/sustainability/uploads/files/shares/sustainability-report/2023_Acer_Sustainability_Report.pdf,SASB
Acerinox SA,Extractives & Minerals Processing,Iron & Steel Producers,Spain,Annual Report,2023,https://www.acerinox.com/export/sites/acerinox/es/accionistas-e-inversores/informacion-economica-financiera/informe-anual-integrado/.galleries/Informacion-Anual/2023-Integrated-Annual-Report.pdf,SASB
"ACI Worldwide, Inc",Technology & Communications,Software & IT Services,United States,Sustainability Report,2023,https://www.aciworldwide.com/wp-content/uploads/2023/01/ACI-SustainabilityReport.pdf,SASB
Acindar Industria Argentina de Aceros SA,Extractives & Minerals Processing,Iron & Steel Producers,Argentina,Integrated Report,2020,https://www.acindar.com.ar/wp-content/uploads/2021/08/Reporte_Integrado_Acindar_2020_Ingles.pdf,SASB
Acme Electronics Corp,Resource Transformation,Electrical & Electronic Equipment,Taiwan,ESG Report,2023,https://www.usig.com/ACMECSR/CSRReport/acme2023_en.pdf,SASB
Acter Group Corp Ltd,Infrastructure,Engineering & Construction Services,Taiwan,Sustainability Report,2023,https://www.acter.com.tw/en/csr/download/wR/Acter_2023_Sustainability_report.pdf,Google search
Activants Pte Ltd,Technology & Communications,Software & IT Services,Singapore,Sustainability Report,2024,https://deepblue.lib.umich.edu/bitstream/handle/2027.42/146068/mnahata_1.pdf,Google search
Activision Blizzard Inc,Technology & Communications,Software & IT Services,United States,ESG Report,2022,https://ourcommitments.activisionblizzard.com/content/dam/atvi/activisionblizzard/ab-touchui/our-commitments/docs/2022_ESG_Report.pdf,SASB
Acuity Brands Inc,Resource Transformation,Electrical & Electronic Equipment,United States,CSR Report,2024,https://img.acuitybrands.com/general-site-storage/EarthLIGHT/earthlight-report-2024-english.pdf?_gl=1*eld2kj*_gcl_au*Mzk4OTcxNzEuMTc0MTEwNDE4NA..*_ga*MTY0NzAwNzc0LjE3NDExMDQxODQ.*_ga_ZGFQSN9WXQ*MTc0MTEwNDE4My4xLjAuMTc0MTEwNDE4My42MC4wLjA.*_ga_LZD7MDDNQZ*MTc0MTEwNDE4My4xLjAuMTc0MTEwNDE4My4wLjAuMA..,SASB
ACWA Power Co,Infrastructure,Electric Utilities & Power Generators,Saudi Arabia,Annual Report,2023,https://www.acwapower.com/media/341935/acwa-power-sustainability-review-2022-en.pdf,Google search
ADAMA Ltd,Resource Transformation,Chemicals,China,ESG Report,2023,https://www.adama.com/sites/adama_global/files/documents/2024-05/ADAMA%20ESG%20report%202023.pdf,SASB
Adani Energy Solutions Ltd,Infrastructure,Electric Utilities & Power Generators,India,Sustainability Report,2024,https://www.adanienergysolutions.com/-/media/Project/Transmission/Sustainability/document/AESL%20Sustainability%20Report%202024,SASB
Adani Green Energy Ltd,Renewable Resources & Alternative Energy,Solar Technology & Project Developers,India,ESG Report,2021-2022,https://www.adanigreenenergy.com/-/media/Project/GreenEnergy/Corporate-Governance/Others/ESG-Report-FY-2021-22.pdf,SASB
Adecco,Services,Professional & Commercial Services,Switzerland,Annual Report,2022,https://www.adeccogroup.com/-/media/project/adeccogroup/pdf-files/Annual-Report-2022/Adecco-Group-Annual-Report-2022.pdf/,SASB
Adecoagro SA,Food & Beverage,Agricultural Products,Argentina,Integrated Report,2023,https://sustainability.adecoagro.com/wp-content/uploads/2024/05/Adecoagro-2023-Integrated-Report.pdf,SASB
Adeia Inc,Technology & Communications,Software & IT Services,United States,ESG Report,2024,https://20470630.fs1.hubspotusercontent-na1.net/hubfs/20470630/Adeia%202024%20ESG%20Report.pdf,Google search
adidas AG,Consumer Goods,"Apparel, Accessories & Footwear",Germany,SASB Index,2022,https://www.adidas-group.com/media/filer_public/7d/f0/7df07b9c-8c97-4461-bb79-82bc2cfa9555/sasb_summary_table_for_publication_2022_1803_clean.pdf,SASB
Adient PLC,Transportation,Auto Parts,United States,Sustainability Report,2024,https://investors.adient.com/~/media/Files/A/Adient-IR/goverance-docs/adient-2024-sustainability-report.pdf,SASB
Aditya Birla Fashion and Retail Ltd,Consumer Goods,"Apparel, Accessories & Footwear",India,Integrated Annual Report,2023,https://www.abfrl.com/wp-content/uploads/2024/08/ABFRL-AR-2023-24-Final.pdf,SASB
Administradora de Fondos de Pensiones y Cesantias PROTECCION SA/Colombia,Financials,Asset Management & Custody Activities,Colombia,Informe Anual,2022,https://downloads.ctfassets.net/y3qdch79qxiw/5LVHmNys1mzGz66S72l2ar/7f9c2b68c53dc37abd5a11e7c3975bcc/PROTECCION_INFORME_ANUAL_2022.pdf,SASB
Admiral,Financials,Insurance,Britain,Sustainability Report,2024,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/LSE_ADM_2023.pdf,Google search
Adobe Inc,Technology & Communications,Software & IT Services,United States,CSR Report,2023,https://www.adobe.com/content/dam/cc/en/corporate-responsibility/pdfs/Adobe-CSR-Report-2023.pdf,SASB
ADP - Automatic Data Processing Inc,Technology & Communications,Software & IT Services,United States,CSR Report,2024,https://s23.q4cdn.com/483669984/files/doc_downloads/2024/05/23/adp-2023-corporate-responsibility-report.pdf,SASB
ADT Inc,Services,Professional & Commercial Services,United States,ESG Report,2023,https://s201.q4cdn.com/833622905/files/doc_downloads/esg_docs/2024/ADT_2023_ESG_Report.pdf,SASB
"Advance Auto Parts, Inc.",Consumer Goods,Multiline and Specialty Retailers & Distributors,United States,CSR,2022,https://www.responsibilityreports.com/HostedData/ResponsibilityReportArchive/a/NYSE_AAP_2019.pdf,Google search
Advanced Ceramic X Corp,Technology & Communications,Hardware,Taiwan,ESG Report,2021,https://www.acxc.com.tw/_upload/files/2021_CSR.pdf,SASB
"Advanced Drainage Systems, Inc",Resource Transformation,Industrial Machinery & Goods,United States,Sustainability Report,2023,https://sasb.ifrs.org/company-use/sasb-reporters/Sustainability-Report-2023.pdf%20(adspipe.com),SASB
Advanced Info Service PCL,Technology & Communications,Telecommunication Services,Thailand,Sustainability Report,2024,https://investor.ais.co.th/misc/sustainability/20250127-advanc-srd-2024-en.pdf,SASB
Advanced Micro Devices Inc AMD,Technology & Communications,Semiconductors,United States,CSR Report,2023-2024,https://www.amd.com/content/dam/amd/en/documents/corporate/cr/corporate-responsibility-report.pdf,SASB
AdvanSix Inc,Resource Transformation,Chemicals,United States,Sustainability Report,2023,https://www.advansix.com/wp-content/uploads/2024/07/AdvanSix-2023-Sustainability-Report.pdf,SASB
Advantage Energy Ltd,Extractives & Minerals Processing,Oil & Gas – Exploration & Production,Canada,Sustainability Report,2022,https://sasb.ifrs.org/company-use/sasb-reporters/Advantage-Energy-2022-Sustainability-Report-WEB.pdf%20(advantageog.com),SASB
Advantech Co Ltd,Technology & Communications,Hardware,Taiwan,Sustainability Report,2023,https://advcloudfiles.advantech.com/csr/Report/2023ESG_EN.pdf,SASB
Advantest Corp,Technology & Communications,Semiconductors,Japan,Integrated Report,2023,https://sasb.ifrs.org/company-use/sasb-reporters/E_all_IAR2023.pdf%20(advantest.com),SASB
AECOM,Infrastructure,Engineering & Construction Services,United States,Sustainability Report,2024,https://aecom.com/wp-content/uploads/documents/reports/AECOM-2022-ESG-Report.pdf,Google search
Aecon Group Inc.,Infrastructure,Engineering & Construction Services,Canada,Sustainability Report,2023,https://www.aecon.com/docs/default-source/sustainability-report/2023-sustainability-report.pdf?sfvrsn=55808078_5,SASB
Aekyung Industrial Co Ltd,Consumer Goods,Household & Personal Products,South Korea,Sustainability Report,2023,https://kind.krx.co.kr/external/2024/07/03/000124/20240703000123/2023%20%EC%95%A0%EA%B2%BD%EC%82%B0%EC%97%85%28%EC%A3%BC%29%20%EC%A7%80%EC%86%8D%EA%B0%80%EB%8A%A5%EA%B2%BD%EC%98%81%EB%B3%B4%EA%B3%A0%EC%84%9C.pdf,SASB
Aena SME SA,Services,Professional & Commercial Services,Spain,Annual Report,2023,,Not Found
Aer Lingus Group DAC,Transportation,Airlines,Ireland,Annual Report,2023,https://www.iairgroup.com/media/kfenna5k/iag-cnmv-annual-financial-report-2023-english.pdf,SASB
Aeroflot PJSC,Transportation,Airlines,Russia,ESG Report,2023,https://ir.aeroflot.com/fileadmin/user_upload/files/rus/common_info/gosa_doc_2024/Aeroflot_CSR2023_ENG_Book.pdf,SASB
Aeroports de Paris,Services,Professional & Commercial Services,France,CSR Report,2023,https://s23.q4cdn.com/483669984/files/doc_downloads/2024/05/23/adp-2023-corporate-responsibility-report.pdf,SASB
Aerospace Industrial Development Corp,Resource Transformation,Aerospace & Defence,Taiwan,Sustainability Report,2023,https://www.aidc.com.tw/Content/File/sr202300en.pdf,SASB
AeroVironment Inc,Resource Transformation,Aerospace & Defence,United States,CSR Report,2024,https://www.avinc.com/images/uploads/product_docs/AV_CSR_FY24_Final.pdf,Google search
AES,Infrastructure,Electric Utilities & Power Generators,United States,Sustainability Report,2023,https://www.aes.com/sites/aes.com/files/2024-07/2023-AES-Improving-Lives-Report.pdf,SASB
AES Andes SA,Infrastructure,Electric Utilities & Power Generators,Chile,Memoria Anual Integrada,2023,https://s27.q4cdn.com/957035463/files/doc_financials/2023/ar/AES-ANDES-MEMORIA-ANUAL-INTEGRADA-2023-12-abril.pdf,SASB
AES Brasil,Renewable Resources & Alternative Energy,Wind Technology & Project Developers,Brazil,Sustainability Report,2023,https://www.aesandes.com/sites/aesandes.com/files/2024-06/Integrated%20Sustainability%20Report%202023-2%20(AES%20Brasil).pdf,Google search
AES Tiete Energia SA,Infrastructure,Electric Utilities & Power Generators,Brazil,Integrated Report,2023,https://www.aesbrasil.com.br/sites/aesbrasil/files/2024-03/Integrated%20Sustainability%20Report%202023-2%20(AES%20Brasil).pdf,SASB
Aferian PLC,Technology & Communications,Hardware,Britain,ESG Report,2024,https://aferian.com/wp-content/uploads/2024/12/Aferian-ESG-report-2024-01c.pdf,SASB
Aflac Inc,Financials,Insurance,United States,Sustainability Report,2023,https://s24.q4cdn.com/367535798/files/doc_financials/2023/ar/2023-aflac-incorporated-business-and-sustainability-report-3-21.pdf,SASB
Africa Oil Corp,Extractives & Minerals Processing,Oil & Gas – Exploration & Production,Canada,Sustainability Report,2023,https://africaoilcorp.com/wp-content/uploads/2024/06/AFRICA-OIL-CORP-Sustainability-Report-2023.pdf,SASB
Afya,Services,Education,Brazil,Sustainability Report,2022,https://cdn.prod.website-files.com/649d8bab74af97091fdaa43e/66b4bf8f635bbad189f2db68_Afya%202023%20Annual%20Sustainability%20Report_EN.pdf,Google search
Ag Growth International Inc,Resource Transformation,Industrial Machinery & Goods,United States,Sustainability Report,2023,https://www.aggrowth.com/globalassets/investors-section/presentations/agi-sustainability-roadmap.pdf,Google search
AGCO Corporation,Resource Transformation,Industrial Machinery & Goods,United States,Sustainability Report,2024,https://www.agcocorp.com/content/dam/public/agco-corp-v2/en/sustainability/sustainability-report-2024.pdf,SASB
Agilent Technologies Inc,Health Care,Medical Equipment & Supplies,United States,ESG Report,2023,https://www.agilent.com/about/esg/en/2023-agilent-esg-report.pdf,SASB
Agiliti Health Inc,Health Care,Health Care Distributors,United States,Corporate Citizenship Report,2023,https://s27.q4cdn.com/288281216/files/doc_downloads/esg/2024/agiliti-2023-corporate-citizenship-report.pdf,SASB
Agios Pharmaceuticals Inc,Health Care,Biotechnology & Pharmaceuticals,United States,ESG Report,2021,https://www.agios.com/wp-content/uploads/2022/04/2022-Agios-ESG-Report.pdf,Google search
AGL Energy Ltd,Infrastructure,Electric Utilities & Power Generators,Australia,SASB Index,2024,https://www.agl.com.au/content/dam/digital/agl/documents/about-agl/investors/2018/2018-agl-sustainability-report.pdf?srsltid=AfmBOop5-STmkrZGDpLJP__yUMZUUKLo1U9wDGBgHEStljzjJePcB4rv,Google search
AGNC Investment Corp,Financials,Mortgage Finance,United States,ESG Report,2023,https://investors.agnc.com/2023-esg-report,SASB
Agnico Eagle Mines Ltd.,Extractives & Minerals Processing,Metals & Mining,Canada,ESG Report,2023,https://s21.q4cdn.com/374334112/files/doc_downloads/gri_table/Agnico-Eagle-2023-Sustainability-Performance-Data_25042024.xlsx,SASB
Agree Realty Corp,Infrastructure,Real Estate,United States,Sustainability Report,2023,https://agreerealty.com/wp-content/uploads/2024/06/Agree-2023-Sustainability-Report.pdf,SASB
Agrosuper SA,Food & Beverage,"Meat, Poultry & Dairy",Chile,Reporte Integrado,2020,https://www.agrosuper.cl/wp-content/uploads/2021/04/Reporte-Integrado-Matriz-Agrosuper-2020-web.pdf,SASB
Agrovision US HoldCo LLC,Food & Beverage,Agricultural Products,United States,Sustainability Report,2023,https://cdn.prod.website-files.com/6765b10ac796865a3e6280a2/677d5c768e8ea05c1635426a_Sustainability%20Report_Agrovision_2023_EN%20(1)%20(1)-compressed.pdf,SASB
Aguas Andinas SA,Infrastructure,Water Utilities & Services,Chile,Integrated Report,2024,https://www.aguasandinasinversionistas.cl/~/media/Files/A/Aguas-IR-v2/annual-reports/es/reporte-integrado-2024-aguas-andinas-baja-2-compressed-1.pdf,SASB
AIG - American International Group Inc,Financials,Insurance,United States,Sustainability Report,2023,https://www.aig.com/content/dam/aig/america-canada/us/documents/about-us/report/aig-sustainability-report-2023.pdf,SASB
Air Liquide SA,Resource Transformation,Chemicals,France,Document d'Enregistrement Universel,2022,https://www.airliquide.com/sites/airliquide.com/files/2023-03/air-liquide-document-enregistrement-universel-2022.pdf,SASB
Air New Zealand Ltd,Transportation,Airlines,New Zealand,Sustainability Report,2023,https://p-airnz.com/cms/assets/PDFs/2023-air-new-zealand-sustainability-report.pdf,SASB
Air Products,Resource Transformation,Chemicals,United States,Sustainability Report,2024,https://www.airproducts.com/-/media/files/en/900/900-24-001-us-sustainability-report-2024.pdf,SASB
Airbus SE,Resource Transformation,Aerospace & Defense,France,Annual Report,2023,https://www.airbus.com/sites/g/files/jlcbta136/files/2024-04/Presentation%20AGM%202024%20-%20Sustainability%20%281%29.pdf,Google search
Airtac International Group,Resource Transformation,Industrial Machinery & Goods,Taiwan,Sustainability Report,2022,https://us-en.airtac.com/upload/2024011104380127410.PDF,SASB
Aitken Spence Hotel Holdings PLC,Services,Hotels & Lodging,Sri Lanka,Annual Report,2023-2024,https://d3a2q5al71qg9.cloudfront.net/2024/07/Aitken-Spence-Hotel-Holdings-PLC-Annual-Report-for-the-year-ended-31st-March-2024.pdf,SASB
Aitken Spence PLC,Services,Hotels & Lodging,Sri Lanka,Annual Report,2023-2024,https://aitkenspence.com/images/ar/2023-2024/aitken-spence-annual-report-2023-2024-high.pdf,SASB
"Ajinomoto Co., Inc.",Food & Beverage,Processed Foods,Japan,SASB Index,2022,https://www.ajinomoto.co.jp/company/en/ir/library/databook/main/010/teaserItems1/0/linkList/02/link/SR2023en_all.pdf,Google search
AJJ Medtech Holdings Ltd,Resource Transformation,Industrial Machinery & Goods,Singapore,Sustainability Report,2023,https://links.sgx.com/FileOpen/AJJ%20Medtech%20-%20Sustainability%20Report%20FY2023.ashx?App=Announcement&FileID=804718,SASB
Akamai Technologies Inc,Technology & Communications,Software & IT Services,United States,SASB Index,2022,https://app.one-report.com/report/SASB-index-xo.html?companyid=1371;year=2023;rid=NjIyNTIyMDI0,SASB
akbank ta?,Financials,Commercial Banks,Turkey,Integrated Report,2020,https://www.akbankinvestorrelations.com/en/images/pdf/akbank_integrated_report_2020.pdf,SASB
Aker BP ASA,Extractives & Minerals Processing,Oil & Gas – Exploration & Production,Norway,Annual Report,2023,https://mb.cision.com/Main/1629/3943191/2679085.pdf,SASB
Akzo Nobel NV,Resource Transformation,Chemicals,Netherlands,Corporate Report,2021,https://www.akzonobel.com/content/dam/akzonobel-corporate/global/en/our-approach-to-sustainability/sustainability-reporting/2021-sustainability-accounting-standards-board-akzonobel.pdf,SASB
AL Yah Satellite Communications Co-Pjsc-Yah Sat,Technology & Communications,Telecommunication Services,Uae,Sustainability Report,2023,https://www.yahsat.com/-/media/yahsat/investor-relations/annual-report/2023/yahsat-sustainability-report_english.pdf?la=en&hash=764EED135BF63DBC8A4E8A3F13DD7C93C53D9F93,SASB
Alamos Gold Inc.,Extractives & Minerals Processing,Metals & Mining,Canada,SASB Index,2023,https://s24.q4cdn.com/779615370/files/doc_downloads/2022/08/Alamos-2021-ESG-Report-Env.pdf,Google search
Alaris Equity Partners Income,Financials,Asset Management & Custody Activities,Canada,ESG Report,2021,https://www.alarisequitypartners.com/upload/media_element/attachments/533/Alaris-ESG-Report-FINAL.pdf,SASB
Alaska Air Group Inc,Transportation,Airlines,United States,Sustainability Report,2023,https://assets.contentstack.io/v3/assets/blt2cefe12c88e9dd91/blt9006a79839d51f0a/2023%20Alaska%20Airlines%20Sustainability%20Report.pdf,SASB
Albany International Corp,Resource Transformation,Industrial Machinery & Goods,United States,Sustainability Report,2024,https://www.albint.com/media/jpjdwtsc/albany-international-fy2024-sustainability-report__web.pdf,SASB
Albemarle Corp,Resource Transformation,Chemicals,United States,Sustainability Report,2023,https://www.albemarle.com/storage/wysiwyg/albemarle-2023-sustainability-report.pdf,SASB
Alcoa Corp,Extractives & Minerals Processing,Metals & Mining,United States,Sustainability Report,2023,https://www.alcoa.com/sustainability/pdf/2023-Sustainability-Report.pdf,SASB
Alcomet AD-Shumen,Extractives & Minerals Processing,Metals & Mining,Bulgaria,Sustainability Report,2022,https://www.alcomet.eu/static/files/sustainability/Alcomet-AD-Sustainability-Report-2022.pdf,SASB
Alcon,Health Care,Medical Equipment & Supplies,Switzerland,ESG Report,2023,https://alcon.widen.net/s/t7pf6zb6nl/2023_social_impact_and_sustainability-report_2312a2075,SASB
Aldar Properties,Infrastructure,Real Estate,Uae,Sustainability Report,2024,https://cdn.aldar.com/-/media/project/aldar-tenant/aldar2/sustainability-report/sustainability-report-2024.pdf,SASB
ALEATICA SAB de CV,Infrastructure,Engineering & Construction Services,Mexico,Sustainability Report,2022,https://www.aleatica.com/wp-content/uploads/2023/06/2022_Aleatica-Global_ENG.pdf,SASB
Alexander & Baldwin Inc,Infrastructure,Real Estate,United States,CSR Report,2021,https://alexanderbaldwin.com/wp-content/uploads/2022/09/AB-Corporate-Responsibility-Report-3rd-Edition-vF.pdf,SASB
Alexander's Inc,Infrastructure,Real Estate,United States,SASB Index,2022,https://alexanderbaldwin.com/wp-content/uploads/2022/09/AB-Corporate-Responsibility-Report-3rd-Edition-vF.pdf,Google search
Alexandria Real Estate Equities Inc,Infrastructure,Real Estate,United States,ESG Report,2022,https://www.are.com/cr/AREESG2022.pdf,SASB
Alexbank - Bank of Alexandria SAE,Financials,Commercial Banks,Egypt,ESG Report,2023,https://www.alexbank.com/document/documents/ALEX/2023/Sustainability_report/Edition-7/ALEXBANK_2023-ESG-Report_16.04.24-(Final-5h45-pm).pdf,SASB
Alexion Pharmaceuticals Inc,Health Care,Biotechnology & Pharmaceuticals,United States,Corporate Responsibility Reports,2019,https://csr.alexion.com/2019-alexion-csr-report.pdf,SASB
ALFA CORPORATIVO,Resource Transformation,Chemicals,Mexico,Annual Report,2024,https://www.alpek.com/wp-content/uploads/2025/04/Alpek-Annual-Report-2024.pdf,SASB
Alfa SAB de CV,Resource Transformation,Chemicals,Mexico,Informe Anual,2022,https://www.alfa.com.mx/wp-content/uploads/2023/07/InformeAnual22.pdf,SASB
Algonquin Power & Utilities Corp,Infrastructure,Electric Utilities & Power Generators,Canada,ESG Report,2023,https://algonquinpower.com/uploads/docs/AQN-ESG-Report-2023.pdf,SASB
Aliansce Sonae Shopping Centers sa,Infrastructure,Real Estate,Brazil,Relatório de Sustentabilidade,2021,https://www.alianscesonae.com.br/stoomsuz/2022/08/relatorio_sustentabilidade_2021.pdf,SASB
"Alibaba (China) Co., Ltd",Consumer Goods,E-Commerce,China,ESG Report,2024,https://data.alibabagroup.com/ecms-files/1375187346/2afa4481-a31a-492f-83bf-7d1a4f66cc7c/2024%20Alibaba%20Group%20Environmental%2C%20Social%20and%20Governance%20Report-0809.pdf,SASB
Alico Inc,Food & Beverage,Agricultural Products,United States,Sustainability Report,2024,https://d1io3yog0oux5.cloudfront.net/_ebf04d504bb45fc0d94e0626d030ffc5/alicoinc/files/pages/sustainability/Alico_ESG_Report_2024.pdf,SASB
Alight Inc,Services,Professional & Commercial Services,United States,Impact Report,2024,https://www.alight.com/getmedia/1ef101d8-288a-483e-b1f9-8f0761e7308a/Alight-2024-Global-Impact-Report_-FINAL.pdf,SASB
Alignment Healthcare Inc,Technology & Communications,Software & IT Services,United States,ESG Report,2023,https://www.alignmenthealth.com/Alignment/media/pdf/Alignment-Health_ESG_Final-version_22July2024_508.pdf,SASB
Alimentation Couche-Tard Inc,Food & Beverage,Food Retailers & Distributors,Canada,SASB Index,2024,https://corpo.couche-tard.com/wp-content/uploads/2024/07/ACT_SASB_Index_EN_20240702.pdf,SASB
